Airline,Date,EBITDA,Status,Country,Region,IATA
Southwest Airlines,2013'Q4,13.0,public,US,North America,WN
United Airlines,2013'Q4,9.0,public,US,North America,UA
Alaska Air,2013'Q4,22.0,public,US,North America,AS
JetBlue Airways,2013'Q4,14.0,public,US,North America,B6
Spirit Airlines,2013'Q4,20.0,public,US,North America,NK
Allegiant,2013'Q4,22.0,public,US,North America,G4
Hawaiian,2013'Q4,10.0,public,US,North America,HA
SkyWest,2013'Q4,12.0,public,US,North America,OO
Air Canada,2013'Q4,10.0,public,CA,North America,AC
WestJet Airlines,2013'Q4,16.0,public,CA,North America,WS
Exchange Income Corporation,2013'Q4,8.0,public,CA,North America,
IAG,2013'Q4,9.0,public,EU,Europe,
Air France-KLM,2013'Q4,9.0,public,EU,Europe,AF/KL
KLM Royal Dutch,2013'Q4,8.0,merged with AF,EU,Europe,KL
Ryanair,2013'Q4,20.0,public,EU,Europe,FR
easyJet,2013'Q4,14.0,public,EU,Europe,U2
Norwegian Air Shuttle,2013'Q4,9.0,public,EU,Europe,DY
Finnair,2013'Q4,6.0,public,EU,Europe,AY
Wizz Air,2013'Q4,13.0,public,EU,Europe,W6
Singapore Airlines,2013'Q4,13.0,public,SG,Asia Pacific,SQ
Qantas Airways,2013'Q4,11.0,public,AU,Asia Pacific,QF
Japan Airlines,2013'Q4,19.0,public,JP,Asia Pacific,JL
ANA Holdings,2013'Q4,13.0,public,JP,Asia Pacific,NH
Cathay Pacific,2013'Q4,11.0,public,HK,Asia Pacific,CX
Copa Holdings,2013'Q4,25.0,public,PA,Latin America,CM
Gol Linhas Aereas,2013'Q4,9.0,public,BR,Latin America,G3
Air China,2013'Q4,15.0,public,CN,China,CA
China Eastern Airlines,2013'Q4,8.0,public,CN,China,MU
China Southern Airlines,2013'Q4,11.0,public,CN,China,CZ
Hainan Airlines,2013'Q4,20.0,public,CN,China,HU
Spring Airlines,2013'Q4,12.0,public,CN,China,9C
Juneyao Airlines,2013'Q4,11.0,public,CN,China,HO
SpiceJet,2013'Q4,-12.0,public,IN,India,SG
Kenya Airlines,2013'Q4,4.0,public,KE,Africa,KQ
Comair,2013'Q4,12.0,public,ZA,Africa,MN
Aeroflot,2013'Q4,11.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2013'Q4,20.0,public,AE,Middle East,G9
Jazeera Airways,2013'Q4,42.0,public,KW,Middle East,J9
American Airlines,2014'Q1,12.0,public,US,North America,AA
Delta Air Lines,2014'Q1,12.0,public,US,North America,DL
Southwest Airlines,2014'Q1,14.0,public,US,North America,WN
United Airlines,2014'Q1,10.0,public,US,North America,UA
Alaska Air,2014'Q1,23.0,public,US,North America,AS
JetBlue Airways,2014'Q1,14.0,public,US,North America,B6
Spirit Airlines,2014'Q1,20.0,public,US,North America,NK
Allegiant,2014'Q1,23.0,public,US,North America,G4
Hawaiian,2014'Q1,11.0,public,US,North America,HA
SkyWest,2014'Q1,12.0,public,US,North America,OO
Air Canada,2014'Q1,10.0,public,CA,North America,AC
WestJet Airlines,2014'Q1,17.0,public,CA,North America,WS
Exchange Income Corporation,2014'Q1,10.0,public,CA,North America,
IAG,2014'Q1,9.0,public,EU,Europe,
British Airways,2014'Q1,15.0,"merged with Iberia, now IAG",EU,Europe,BA
Air France-KLM,2014'Q1,9.0,public,EU,Europe,AF/KL
Air France,2014'Q1,6.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2014'Q1,9.0,merged with AF,EU,Europe,KL
Ryanair,2014'Q1,21.0,public,EU,Europe,FR
easyJet,2014'Q1,15.0,public,EU,Europe,U2
Norwegian Air Shuttle,2014'Q1,7.0,public,EU,Europe,DY
Finnair,2014'Q1,6.0,public,EU,Europe,AY
Wizz Air,2014'Q1,14.0,public,EU,Europe,W6
Singapore Airlines,2014'Q1,14.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q1,9.0,public,AU,Asia Pacific,QF
Japan Airlines,2014'Q1,19.0,public,JP,Asia Pacific,JL
ANA Holdings,2014'Q1,13.0,public,JP,Asia Pacific,NH
Korean Air,2014'Q1,1.0,public,KR,Asia Pacific,KE
Cathay Pacific,2014'Q1,12.0,public,HK,Asia Pacific,CX
Copa Holdings,2014'Q1,25.0,public,PA,Latin America,CM
Gol Linhas Aereas,2014'Q1,9.0,public,BR,Latin America,G3
Air China,2014'Q1,16.0,public,CN,China,CA
China Eastern Airlines,2014'Q1,10.0,public,CN,China,MU
China Southern Airlines,2014'Q1,12.0,public,CN,China,CZ
Hainan Airlines,2014'Q1,21.0,public,CN,China,HU
Spring Airlines,2014'Q1,13.0,public,CN,China,9C
Juneyao Airlines,2014'Q1,11.0,public,CN,China,HO
Indigo,2014'Q1,14.0,public,IN,India,6E
SpiceJet,2014'Q1,-11.0,public,IN,India,SG
Kenya Airlines,2014'Q1,3.0,public,KE,Africa,KQ
Comair,2014'Q1,11.0,public,ZA,Africa,MN
Qatar Airways,2014'Q1,18.0,private,QA,Middle East,QR
Aeroflot,2014'Q1,10.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2014'Q1,21.0,public,AE,Middle East,G9
Jazeera Airways,2014'Q1,39.0,public,KW,Middle East,J9
American Airlines,2014'Q2,13.0,public,US,North America,AA
Delta Air Lines,2014'Q2,10.0,public,US,North America,DL
Southwest Airlines,2014'Q2,15.0,public,US,North America,WN
United Airlines,2014'Q2,10.0,public,US,North America,UA
Alaska Air,2014'Q2,23.0,public,US,North America,AS
JetBlue Airways,2014'Q2,14.0,public,US,North America,B6
Spirit Airlines,2014'Q2,20.0,public,US,North America,NK
Allegiant,2014'Q2,24.0,public,US,North America,G4
Hawaiian,2014'Q2,12.0,public,US,North America,HA
SkyWest,2014'Q2,12.0,public,US,North America,OO
Air Canada,2014'Q2,10.0,public,CA,North America,AC
WestJet Airlines,2014'Q2,17.0,public,CA,North America,WS
Exchange Income Corporation,2014'Q2,13.0,public,CA,North America,
IAG,2014'Q2,10.0,public,EU,Europe,
British Airways,2014'Q2,15.0,"merged with Iberia, now IAG",EU,Europe,BA
Air France-KLM,2014'Q2,9.0,public,EU,Europe,AF/KL
Air France,2014'Q2,6.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2014'Q2,11.0,merged with AF,EU,Europe,KL
Ryanair,2014'Q2,23.0,public,EU,Europe,FR
easyJet,2014'Q2,15.0,public,EU,Europe,U2
Norwegian Air Shuttle,2014'Q2,4.0,public,EU,Europe,DY
Finnair,2014'Q2,5.0,public,EU,Europe,AY
Wizz Air,2014'Q2,15.0,public,EU,Europe,W6
Singapore Airlines,2014'Q2,14.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q2,7.0,public,AU,Asia Pacific,QF
Japan Airlines,2014'Q2,19.0,public,JP,Asia Pacific,JL
ANA Holdings,2014'Q2,13.0,public,JP,Asia Pacific,NH
Korean Air,2014'Q2,2.0,public,KR,Asia Pacific,KE
Asiana Airlines,2014'Q2,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2014'Q2,12.0,public,HK,Asia Pacific,CX
Copa Holdings,2014'Q2,25.0,public,PA,Latin America,CM
Gol Linhas Aereas,2014'Q2,9.0,public,BR,Latin America,G3
Air China,2014'Q2,16.0,public,CN,China,CA
China Eastern Airlines,2014'Q2,12.0,public,CN,China,MU
China Southern Airlines,2014'Q2,13.0,public,CN,China,CZ
Hainan Airlines,2014'Q2,22.0,public,CN,China,HU
Spring Airlines,2014'Q2,13.0,public,CN,China,9C
Juneyao Airlines,2014'Q2,11.0,public,CN,China,HO
Indigo,2014'Q2,14.0,public,IN,India,6E
SpiceJet,2014'Q2,-10.0,public,IN,India,SG
Kenya Airlines,2014'Q2,3.0,public,KE,Africa,KQ
Comair,2014'Q2,11.0,public,ZA,Africa,MN
Qatar Airways,2014'Q2,18.0,private,QA,Middle East,QR
Aeroflot,2014'Q2,10.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2014'Q2,22.0,public,AE,Middle East,G9
Jazeera Airways,2014'Q2,36.0,public,KW,Middle East,J9
American Airlines,2014'Q3,14.0,public,US,North America,AA
Delta Air Lines,2014'Q3,8.0,public,US,North America,DL
Southwest Airlines,2014'Q3,16.0,public,US,North America,WN
United Airlines,2014'Q3,11.0,public,US,North America,UA
Alaska Air,2014'Q3,23.0,public,US,North America,AS
JetBlue Airways,2014'Q3,15.0,public,US,North America,B6
Spirit Airlines,2014'Q3,21.0,public,US,North America,NK
Allegiant,2014'Q3,24.0,public,US,North America,G4
Hawaiian,2014'Q3,14.0,public,US,North America,HA
SkyWest,2014'Q3,11.0,public,US,North America,OO
Air Canada,2014'Q3,10.0,public,CA,North America,AC
WestJet Airlines,2014'Q3,17.0,public,CA,North America,WS
Exchange Income Corporation,2014'Q3,15.0,public,CA,North America,
IAG,2014'Q3,11.0,public,EU,Europe,
British Airways,2014'Q3,15.0,"merged with Iberia, now IAG",EU,Europe,BA
Air France-KLM,2014'Q3,9.0,public,EU,Europe,AF/KL
Air France,2014'Q3,6.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2014'Q3,12.0,merged with AF,EU,Europe,KL
Ryanair,2014'Q3,24.0,public,EU,Europe,FR
easyJet,2014'Q3,15.0,public,EU,Europe,U2
Norwegian Air Shuttle,2014'Q3,2.0,public,EU,Europe,DY
Finnair,2014'Q3,5.0,public,EU,Europe,AY
Wizz Air,2014'Q3,16.0,public,EU,Europe,W6
Singapore Airlines,2014'Q3,15.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q3,6.0,public,AU,Asia Pacific,QF
Japan Airlines,2014'Q3,20.0,public,JP,Asia Pacific,JL
ANA Holdings,2014'Q3,13.0,public,JP,Asia Pacific,NH
Korean Air,2014'Q3,3.0,public,KR,Asia Pacific,KE
Asiana Airlines,2014'Q3,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2014'Q3,12.0,public,HK,Asia Pacific,CX
Copa Holdings,2014'Q3,24.0,public,PA,Latin America,CM
Gol Linhas Aereas,2014'Q3,9.0,public,BR,Latin America,G3
Air China,2014'Q3,17.0,public,CN,China,CA
China Eastern Airlines,2014'Q3,14.0,public,CN,China,MU
China Southern Airlines,2014'Q3,13.0,public,CN,China,CZ
Hainan Airlines,2014'Q3,23.0,public,CN,China,HU
Spring Airlines,2014'Q3,14.0,public,CN,China,9C
Juneyao Airlines,2014'Q3,12.0,public,CN,China,HO
Indigo,2014'Q3,14.0,public,IN,India,6E
SpiceJet,2014'Q3,-9.0,public,IN,India,SG
Kenya Airlines,2014'Q3,2.0,public,KE,Africa,KQ
Comair,2014'Q3,11.0,public,ZA,Africa,MN
Qatar Airways,2014'Q3,18.0,private,QA,Middle East,QR
Aeroflot,2014'Q3,9.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2014'Q3,23.0,public,AE,Middle East,G9
Jazeera Airways,2014'Q3,33.0,public,KW,Middle East,J9
American Airlines,2014'Q4,15.0,public,US,North America,AA
Delta Air Lines,2014'Q4,6.0,public,US,North America,DL
Southwest Airlines,2014'Q4,18.0,public,US,North America,WN
United Airlines,2014'Q4,11.0,public,US,North America,UA
Alaska Air,2014'Q4,23.0,public,US,North America,AS
JetBlue Airways,2014'Q4,15.0,public,US,North America,B6
Spirit Airlines,2014'Q4,21.0,public,US,North America,NK
Allegiant,2014'Q4,25.0,public,US,North America,G4
Hawaiian,2014'Q4,15.0,public,US,North America,HA
SkyWest,2014'Q4,11.0,public,US,North America,OO
Air Canada,2014'Q4,10.0,public,CA,North America,AC
WestJet Airlines,2014'Q4,18.0,public,CA,North America,WS
Exchange Income Corporation,2014'Q4,17.0,public,CA,North America,
IAG,2014'Q4,12.0,public,EU,Europe,
British Airways,2014'Q4,15.0,"merged with Iberia, now IAG",EU,Europe,BA
Air France-KLM,2014'Q4,9.0,public,EU,Europe,AF/KL
Air France,2014'Q4,6.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2014'Q4,13.0,merged with AF,EU,Europe,KL
Ryanair,2014'Q4,25.0,public,EU,Europe,FR
easyJet,2014'Q4,15.0,public,EU,Europe,U2
Finnair,2014'Q4,4.0,public,EU,Europe,AY
Wizz Air,2014'Q4,16.0,public,EU,Europe,W6
Singapore Airlines,2014'Q4,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2014'Q4,4.0,public,AU,Asia Pacific,QF
Japan Airlines,2014'Q4,20.0,public,JP,Asia Pacific,JL
ANA Holdings,2014'Q4,13.0,public,JP,Asia Pacific,NH
Korean Air,2014'Q4,4.0,public,KR,Asia Pacific,KE
Asiana Airlines,2014'Q4,2.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2014'Q4,13.0,public,HK,Asia Pacific,CX
Copa Holdings,2014'Q4,24.0,public,PA,Latin America,CM
Gol Linhas Aereas,2014'Q4,10.0,public,BR,Latin America,G3
Air China,2014'Q4,17.0,public,CN,China,CA
China Eastern Airlines,2014'Q4,16.0,public,CN,China,MU
China Southern Airlines,2014'Q4,14.0,public,CN,China,CZ
Hainan Airlines,2014'Q4,24.0,public,CN,China,HU
Spring Airlines,2014'Q4,14.0,public,CN,China,9C
Juneyao Airlines,2014'Q4,12.0,public,CN,China,HO
Indigo,2014'Q4,14.0,public,IN,India,6E
SpiceJet,2014'Q4,-8.0,public,IN,India,SG
Kenya Airlines,2014'Q4,1.0,public,KE,Africa,KQ
Comair,2014'Q4,11.0,public,ZA,Africa,MN
Qatar Airways,2014'Q4,18.0,private,QA,Middle East,QR
Aeroflot,2014'Q4,8.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2014'Q4,23.0,public,AE,Middle East,G9
Jazeera Airways,2014'Q4,29.0,public,KW,Middle East,J9
American Airlines,2015'Q1,17.0,public,US,North America,AA
Delta Air Lines,2015'Q1,11.0,public,US,North America,DL
Southwest Airlines,2015'Q1,20.0,public,US,North America,WN
United Airlines,2015'Q1,13.0,public,US,North America,UA
Alaska Air,2015'Q1,25.0,public,US,North America,AS
JetBlue Airways,2015'Q1,17.0,public,US,North America,B6
Spirit Airlines,2015'Q1,23.0,public,US,North America,NK
Allegiant,2015'Q1,28.0,public,US,North America,G4
Hawaiian,2015'Q1,17.0,public,US,North America,HA
SkyWest,2015'Q1,12.0,public,US,North America,OO
Air Canada,2015'Q1,12.0,public,CA,North America,AC
WestJet Airlines,2015'Q1,18.0,public,CA,North America,WS
Exchange Income Corporation,2015'Q1,19.0,public,CA,North America,
IAG,2015'Q1,13.0,public,EU,Europe,
British Airways,2015'Q1,14.0,"merged with Iberia, now IAG",EU,Europe,BA
Iberia,2015'Q1,17.0,"merged with BA, now IAG",EU,Europe,IB
Air France-KLM,2015'Q1,9.0,public,EU,Europe,AF/KL
Air France,2015'Q1,7.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2015'Q1,12.0,merged with AF,EU,Europe,KL
Ryanair,2015'Q1,26.0,public,EU,Europe,FR
easyJet,2015'Q1,16.0,public,EU,Europe,U2
Norwegian Air Shuttle,2015'Q1,2.0,public,EU,Europe,DY
Finnair,2015'Q1,5.0,public,EU,Europe,AY
Wizz Air,2015'Q1,17.0,public,EU,Europe,W6
Singapore Airlines,2015'Q1,16.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q1,6.0,public,AU,Asia Pacific,QF
Japan Airlines,2015'Q1,20.0,public,JP,Asia Pacific,JL
ANA Holdings,2015'Q1,14.0,public,JP,Asia Pacific,NH
Korean Air,2015'Q1,5.0,public,KR,Asia Pacific,KE
Asiana Airlines,2015'Q1,2.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2015'Q1,13.0,public,HK,Asia Pacific,CX
Copa Holdings,2015'Q1,23.0,public,PA,Latin America,CM
Gol Linhas Aereas,2015'Q1,8.0,public,BR,Latin America,G3
LATAM Airlines,2015'Q1,13.0,public,CL,Latin America,LA
Air China,2015'Q1,19.0,public,CN,China,CA
China Eastern Airlines,2015'Q1,18.0,public,CN,China,MU
China Southern Airlines,2015'Q1,15.0,public,CN,China,CZ
Hainan Airlines,2015'Q1,25.0,public,CN,China,HU
Spring Airlines,2015'Q1,15.0,public,CN,China,9C
Juneyao Airlines,2015'Q1,14.0,public,CN,China,HO
Indigo,2015'Q1,16.0,public,IN,India,6E
SpiceJet,2015'Q1,-2.0,public,IN,India,SG
Kenya Airlines,2015'Q1,3.0,public,KE,Africa,KQ
Comair,2015'Q1,12.0,public,ZA,Africa,MN
Qatar Airways,2015'Q1,20.0,private,QA,Middle East,QR
Aeroflot,2015'Q1,10.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2015'Q1,24.0,public,AE,Middle East,G9
Jazeera Airways,2015'Q1,29.0,public,KW,Middle East,J9
American Airlines,2015'Q2,19.0,public,US,North America,AA
Delta Air Lines,2015'Q2,16.0,public,US,North America,DL
Southwest Airlines,2015'Q2,22.0,public,US,North America,WN
United Airlines,2015'Q2,15.0,public,US,North America,UA
Alaska Air,2015'Q2,27.0,public,US,North America,AS
JetBlue Airways,2015'Q2,19.0,public,US,North America,B6
Spirit Airlines,2015'Q2,24.0,public,US,North America,NK
Allegiant,2015'Q2,31.0,public,US,North America,G4
Hawaiian,2015'Q2,19.0,public,US,North America,HA
SkyWest,2015'Q2,14.0,public,US,North America,OO
Air Canada,2015'Q2,13.0,public,CA,North America,AC
WestJet Airlines,2015'Q2,19.0,public,CA,North America,WS
Exchange Income Corporation,2015'Q2,20.0,public,CA,North America,
IAG,2015'Q2,14.0,public,EU,Europe,
British Airways,2015'Q2,13.0,"merged with Iberia, now IAG",EU,Europe,BA
Iberia,2015'Q2,17.0,"merged with BA, now IAG",EU,Europe,IB
Air France-KLM,2015'Q2,9.0,public,EU,Europe,AF/KL
Air France,2015'Q2,8.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2015'Q2,11.0,merged with AF,EU,Europe,KL
Ryanair,2015'Q2,27.0,public,EU,Europe,FR
easyJet,2015'Q2,17.0,public,EU,Europe,U2
Norwegian Air Shuttle,2015'Q2,4.0,public,EU,Europe,DY
Finnair,2015'Q2,6.0,public,EU,Europe,AY
Wizz Air,2015'Q2,17.0,public,EU,Europe,W6
Singapore Airlines,2015'Q2,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q2,9.0,public,AU,Asia Pacific,QF
Japan Airlines,2015'Q2,21.0,public,JP,Asia Pacific,JL
ANA Holdings,2015'Q2,14.0,public,JP,Asia Pacific,NH
Korean Air,2015'Q2,6.0,public,KR,Asia Pacific,KE
Asiana Airlines,2015'Q2,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2015'Q2,14.0,public,HK,Asia Pacific,CX
Copa Holdings,2015'Q2,21.0,public,PA,Latin America,CM
Gol Linhas Aereas,2015'Q2,6.0,public,BR,Latin America,G3
LATAM Airlines,2015'Q2,13.0,public,CL,Latin America,LA
Air China,2015'Q2,22.0,public,CN,China,CA
China Eastern Airlines,2015'Q2,20.0,public,CN,China,MU
China Southern Airlines,2015'Q2,17.0,public,CN,China,CZ
Hainan Airlines,2015'Q2,27.0,public,CN,China,HU
Spring Airlines,2015'Q2,17.0,public,CN,China,9C
Juneyao Airlines,2015'Q2,17.0,public,CN,China,HO
Indigo,2015'Q2,17.0,public,IN,India,6E
SpiceJet,2015'Q2,4.0,public,IN,India,SG
Kenya Airlines,2015'Q2,5.0,public,KE,Africa,KQ
Comair,2015'Q2,12.0,public,ZA,Africa,MN
Qatar Airways,2015'Q2,21.0,private,QA,Middle East,QR
Aeroflot,2015'Q2,12.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2015'Q2,25.0,public,AE,Middle East,G9
Jazeera Airways,2015'Q2,29.0,public,KW,Middle East,J9
American Airlines,2015'Q3,20.0,public,US,North America,AA
Delta Air Lines,2015'Q3,22.0,public,US,North America,DL
Southwest Airlines,2015'Q3,24.0,public,US,North America,WN
United Airlines,2015'Q3,17.0,public,US,North America,UA
Alaska Air,2015'Q3,28.0,public,US,North America,AS
JetBlue Airways,2015'Q3,21.0,public,US,North America,B6
Spirit Airlines,2015'Q3,26.0,public,US,North America,NK
Allegiant,2015'Q3,34.0,public,US,North America,G4
Hawaiian,2015'Q3,21.0,public,US,North America,HA
SkyWest,2015'Q3,15.0,public,US,North America,OO
Air Canada,2015'Q3,14.0,public,CA,North America,AC
WestJet Airlines,2015'Q3,20.0,public,CA,North America,WS
Exchange Income Corporation,2015'Q3,21.0,public,CA,North America,
IAG,2015'Q3,15.0,public,EU,Europe,
British Airways,2015'Q3,12.0,"merged with Iberia, now IAG",EU,Europe,BA
Iberia,2015'Q3,17.0,"merged with BA, now IAG",EU,Europe,IB
Air France-KLM,2015'Q3,10.0,public,EU,Europe,AF/KL
Air France,2015'Q3,9.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2015'Q3,9.0,merged with AF,EU,Europe,KL
Ryanair,2015'Q3,28.0,public,EU,Europe,FR
easyJet,2015'Q3,17.0,public,EU,Europe,U2
Norwegian Air Shuttle,2015'Q3,6.0,public,EU,Europe,DY
Finnair,2015'Q3,7.0,public,EU,Europe,AY
Wizz Air,2015'Q3,18.0,public,EU,Europe,W6
Singapore Airlines,2015'Q3,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q3,11.0,public,AU,Asia Pacific,QF
Japan Airlines,2015'Q3,22.0,public,JP,Asia Pacific,JL
ANA Holdings,2015'Q3,15.0,public,JP,Asia Pacific,NH
Korean Air,2015'Q3,7.0,public,KR,Asia Pacific,KE
Asiana Airlines,2015'Q3,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2015'Q3,15.0,public,HK,Asia Pacific,CX
Copa Holdings,2015'Q3,19.0,public,PA,Latin America,CM
Gol Linhas Aereas,2015'Q3,4.0,public,BR,Latin America,G3
LATAM Airlines,2015'Q3,13.0,public,CL,Latin America,LA
Air China,2015'Q3,24.0,public,CN,China,CA
China Eastern Airlines,2015'Q3,21.0,public,CN,China,MU
China Southern Airlines,2015'Q3,18.0,public,CN,China,CZ
Hainan Airlines,2015'Q3,28.0,public,CN,China,HU
Spring Airlines,2015'Q3,18.0,public,CN,China,9C
Juneyao Airlines,2015'Q3,19.0,public,CN,China,HO
Indigo,2015'Q3,18.0,public,IN,India,6E
SpiceJet,2015'Q3,10.0,public,IN,India,SG
Kenya Airlines,2015'Q3,6.0,public,KE,Africa,KQ
Comair,2015'Q3,13.0,public,ZA,Africa,MN
Qatar Airways,2015'Q3,23.0,private,QA,Middle East,QR
Aeroflot,2015'Q3,14.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2015'Q3,25.0,public,AE,Middle East,G9
Jazeera Airways,2015'Q3,29.0,public,KW,Middle East,J9
American Airlines,2015'Q4,22.0,public,US,North America,AA
Delta Air Lines,2015'Q4,27.0,public,US,North America,DL
Southwest Airlines,2015'Q4,26.0,public,US,North America,WN
United Airlines,2015'Q4,19.0,public,US,North America,UA
Alaska Air,2015'Q4,30.0,public,US,North America,AS
JetBlue Airways,2015'Q4,22.0,public,US,North America,B6
Spirit Airlines,2015'Q4,28.0,public,US,North America,NK
Allegiant,2015'Q4,37.0,public,US,North America,G4
Hawaiian,2015'Q4,23.0,public,US,North America,HA
SkyWest,2015'Q4,16.0,public,US,North America,OO
Air Canada,2015'Q4,15.0,public,CA,North America,AC
WestJet Airlines,2015'Q4,21.0,public,CA,North America,WS
Exchange Income Corporation,2015'Q4,22.0,public,CA,North America,
IAG,2015'Q4,16.0,public,EU,Europe,
British Airways,2015'Q4,11.0,"merged with Iberia, now IAG",EU,Europe,BA
Iberia,2015'Q4,17.0,"merged with BA, now IAG",EU,Europe,IB
Air France-KLM,2015'Q4,10.0,public,EU,Europe,AF/KL
Air France,2015'Q4,9.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2015'Q4,8.0,merged with AF,EU,Europe,KL
Ryanair,2015'Q4,29.0,public,EU,Europe,FR
easyJet,2015'Q4,18.0,public,EU,Europe,U2
Norwegian Air Shuttle,2015'Q4,9.0,public,EU,Europe,DY
Finnair,2015'Q4,8.0,public,EU,Europe,AY
Wizz Air,2015'Q4,18.0,public,EU,Europe,W6
Singapore Airlines,2015'Q4,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2015'Q4,14.0,public,AU,Asia Pacific,QF
Japan Airlines,2015'Q4,22.0,public,JP,Asia Pacific,JL
ANA Holdings,2015'Q4,16.0,public,JP,Asia Pacific,NH
Korean Air,2015'Q4,8.0,public,KR,Asia Pacific,KE
Asiana Airlines,2015'Q4,1.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2015'Q4,15.0,public,HK,Asia Pacific,CX
Copa Holdings,2015'Q4,18.0,public,PA,Latin America,CM
Gol Linhas Aereas,2015'Q4,2.0,public,BR,Latin America,G3
LATAM Airlines,2015'Q4,13.0,public,CL,Latin America,LA
Air China,2015'Q4,26.0,public,CN,China,CA
China Eastern Airlines,2015'Q4,23.0,public,CN,China,MU
China Southern Airlines,2015'Q4,20.0,public,CN,China,CZ
Hainan Airlines,2015'Q4,29.0,public,CN,China,HU
Spring Airlines,2015'Q4,19.0,public,CN,China,9C
Juneyao Airlines,2015'Q4,21.0,public,CN,China,HO
Indigo,2015'Q4,20.0,public,IN,India,6E
SpiceJet,2015'Q4,15.0,public,IN,India,SG
Kenya Airlines,2015'Q4,8.0,public,KE,Africa,KQ
Comair,2015'Q4,13.0,public,ZA,Africa,MN
Qatar Airways,2015'Q4,25.0,private,QA,Middle East,QR
Aeroflot,2015'Q4,16.0,"taken private 2023, war",RU,Russia,SU
Air Arabia,2015'Q4,26.0,public,AE,Middle East,G9
Jazeera Airways,2015'Q4,29.0,public,KW,Middle East,J9
American Airlines,2016'Q1,21.0,public,US,North America,AA
Delta Air Lines,2016'Q1,26.0,public,US,North America,DL
Southwest Airlines,2016'Q1,25.0,public,US,North America,WN
United Airlines,2016'Q1,19.0,public,US,North America,UA
Alaska Air,2016'Q1,30.0,public,US,North America,AS
JetBlue Airways,2016'Q1,23.0,public,US,North America,B6
Spirit Airlines,2016'Q1,27.0,public,US,North America,NK
Allegiant,2016'Q1,37.0,public,US,North America,G4
Hawaiian,2016'Q1,24.0,public,US,North America,HA
SkyWest,2016'Q1,17.0,public,US,North America,OO
Air Canada,2016'Q1,15.0,public,CA,North America,AC
WestJet Airlines,2016'Q1,20.0,public,CA,North America,WS
Exchange Income Corporation,2016'Q1,23.0,public,CA,North America,
IAG,2016'Q1,16.0,public,EU,Europe,
British Airways,2016'Q1,13.0,"merged with Iberia, now IAG",EU,Europe,BA
Iberia,2016'Q1,15.0,"merged with BA, now IAG",EU,Europe,IB
Air France-KLM,2016'Q1,11.0,public,EU,Europe,AF/KL
Air France,2016'Q1,9.0,merged with KLM,EU,Europe,AF
KLM Royal Dutch,2016'Q1,9.0,merged with AF,EU,Europe,KL
Ryanair,2016'Q1,29.0,public,EU,Europe,FR
easyJet,2016'Q1,17.0,public,EU,Europe,U2
Norwegian Air Shuttle,2016'Q1,9.0,public,EU,Europe,DY
Finnair,2016'Q1,8.0,public,EU,Europe,AY
Wizz Air,2016'Q1,19.0,public,EU,Europe,W6
Singapore Airlines,2016'Q1,17.0,public,SG,Asia Pacific,SQ
Qantas Airways,2016'Q1,14.0,public,AU,Asia Pacific,QF
Japan Airlines,2016'Q1,22.0,public,JP,Asia Pacific,JL
ANA Holdings,2016'Q1,16.0,public,JP,Asia Pacific,NH
Korean Air,2016'Q1,8.0,public,KR,Asia Pacific,KE
Asiana Airlines,2016'Q1,2.0,public,KR,Asia Pacific,OZ
Cathay Pacific,2016'Q1,14.0,public,HK,Asia Pacific,CX
Copa Holdings,2016'Q1,18.0,public,PA,Latin America,CM
Gol Linhas Aereas,2016'Q1,5.0,public,BR,Latin America,G3
LATAM Airlines,2016'Q1,13.0,public,CL,Latin America,LA
